vendor,category,confidence
hello private limited,Business,0.95
walmart,Shopping,0.95
target,Shopping,0.95
amazon,Shopping,0.90
costco,Shopping,0.95
mcdonalds,Food & Dining,0.98
starbucks,Food & Dining,0.98
subway,Food & Dining,0.95
pizza hut,Food & Dining,0.95
shell,Transportation,0.95
exxon,Transportation,0.95
chevron,Transportation,0.95
uber,Transportation,0.98
lyft,Transportation,0.98
taxi,Transportation,0.90
electric company,Utilities,0.98
gas company,Utilities,0.98
water department,Utilities,0.98
internet,Utilities,0.95
phone company,Utilities,0.95
netflix,Entertainment,0.98
spotify,Entertainment,0.98
movie theater,Entertainment,0.95
hospital,Healthcare,0.98
clinic,Healthcare,0.95
pharmacy,Healthcare,0.98
cvs,Healthcare,0.90
walgreens,Healthcare,0.90
hotel,Travel,0.95
airline,Travel,0.98
airbnb,Travel,0.95
office supplies,Business,0.90
fedex,Business,0.90
ups,Business,0.90
iconvibe,Travel,0.95
beauty care enterprises,Healthcare,0.90
star pharmacy,Healthcare,0.95
nepal airlines,Travel,0.98
yeti airlines,Travel,0.98
buddha air,Travel,0.98
bhat bhateni,Shopping,0.95
big mart,Shopping,0.95
salesberry,Shopping,0.90
rara noodles,Food & Dining,0.95
ncell,Utilities,0.98
ntc,Utilities,0.98
daraz,Shopping,0.90
pathao,Transportation,0.95
grocery store,Shopping,0.85
Sundar Tours Jumla 245,Travel,0.88
First Lodge 759,Travel,0.8
Metro University Kathmandu,Education,0.95
Golden Center Gorkha,Education,0.9
Moonlight Modern Momo,Food & Dining,0.95
Smart Bazaar,Shopping,0.97
First Hospital Lalitpur,Healthcare,0.94
Bhaktapur Pharmacy Kathmandu,Healthcare,0.82
Everest Global Rentals,Business,0.91
Suryodaya Rentals,Business,0.95
Gorkha Mega Wellness,Healthcare,0.87
Dullu Store Dhangadhi,Shopping,0.84
Blue Broadband Pokhara,Utilities,0.94
Suryodaya Petrol Pump Bhaktapur,Transportation,0.92
Pokhara Medical,Healthcare,0.93
Chitwan Garage Nepalgunj,Transportation,0.95
Classic Services,Business,0.91
Moonlight Utility,Utilities,0.85
Lakeside Consultancy Lalitpur,Business,0.89
Heritage Supplies Chitwan 308,Business,0.9
Himal Care,Healthcare,0.82
Sajilo Modern Services,Business,0.88
Royal Hospital 267,Healthcare,0.84
Koshi Water Kathmandu,Utilities,0.95
Biratnagar Mart 295,Shopping,0.95
Golden Mega Studio Gorkha 245,Entertainment,0.83
Naya Super Hospital,Healthcare,0.88
City Theatre Biratnagar,Entertainment,0.8
Trust Modern Corner,Other,0.97
Butwal Books Dharan 216,Education,0.91
Golden Modern Center,Other,0.92
Dullu Center Nepalgunj,Other,0.91
Himal Global Club,Entertainment,0.93
Bagmati Medical Lalitpur,Healthcare,0.83
First Super Goods Janakpur,Other,0.93
Quick Supplies,Business,0.92
Mero Stationery,Education,0.92
Royal College,Education,0.95
Hetauda Kitchen,Food & Dining,0.99
Biratnagar Store 699,Shopping,0.96
Bishal Guest House Gorkha,Travel,0.81
Ananda Urban Lounge Pokhara 109,Entertainment,0.86
Everest Shop,Shopping,0.81
Smart Global Supplies Bhaktapur 492,Business,0.84
Hetauda Playzone,Entertainment,0.8
Lalitpur Ayurveda,Healthcare,0.8
Classic Global Electric,Utilities,0.9
Nepal Stationery,Education,0.86
Koshi Classic Agency Lalitpur,Travel,0.88
Classic Hospital,Healthcare,0.81
Smart Medical Dharan,Healthcare,0.89
Green Super Medical,Healthcare,0.96
Mountain Beverages,Food & Dining,0.93
Riverside Bakery,Food & Dining,0.88
Smart Telecom 425,Utilities,0.8
Blue Hotel,Travel,0.88
Good Restaurant Butwal 616,Food & Dining,0.96
City Modern Supplies Lalitpur,Business,0.81
Sukrishna Bhojanalay Dhangadhi,Food & Dining,0.81
City Retreat,Travel,0.94
Trust Transport Dharan,Transportation,0.88
Heritage Store 149,Shopping,0.95
Nepalgunj Fashion,Shopping,0.8
Pokhara Hospital Hetauda,Healthcare,0.95
Quick Petrol Pump,Transportation,0.98
Smart Shop Biratnagar,Shopping,0.93
Moonlight Provider Syangja 964,Other,0.99
Syangja Medical Pokhara,Healthcare,0.87
Good Shop,Other,0.83
City Momo Biratnagar,Food & Dining,0.98
Nepalgunj Taxi 417,Transportation,0.81
Butwal Mega Transport Bhaktapur,Transportation,0.89
Nepalgunj Ayurveda Biratnagar,Healthcare,0.98
Koshi Wellness,Healthcare,0.91
Dharan Playzone Kathmandu,Entertainment,0.94
Smart Retreat Gorkha,Travel,0.82
City Diner,Food & Dining,0.87
Lalitpur Super Arcade,Entertainment,0.86
Moonlight Petrol Pump Chitwan,Transportation,0.89
Sajilo Provider,Other,0.98
Kathmandu Outlet,Shopping,0.94
Golden Mega Pharmacy,Healthcare,0.98
Bishal Classic Energy Janakpur,Utilities,0.85
Nepal Internet,Utilities,0.9
Ananda Hostel Butwal,Business,0.86
Nepalgunj Provider,Other,0.82
